,ResponseId,LocationLatitude,LocationLongitude,Sex,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,IdPol,IdPol_2_TEXT,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,Control_1,Control_2,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGroup_1,Q37_1,Intragroup_1,Q38_1,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,InterGContacPetrist_1,InterGContacPetrist_2,InterGContacPetrist_3,InterGContacPetrist_4,InterGContacPetrist_5,InterGContacPetrist_6,InterGContacUribi_1,InterGContacUribi_2,InterGContacUribi_3,InterGContacUribi_4,InterGContacUribi_5,InterGContacUribi_6,OutGEmpUribis_1,OutGEmpUribis_2,OutGEmpUribis_3,EmpUribist_1,EmpUribist_2,EmpUribist_3,ConspiracyUribi_1,ConspiracyUribi_2,ConspiracyUribi_3,ConspiracyUribi_4,ConspiracyPetrist_1,ConspiracyPetrist_2,ConspiracyPetrist_3,ConspiracyPetrist_4,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Q64_5_TEXT,Q78
88,R_1kLcWuTC7wCd3kf,3.4129,-76.5191,Una mujer,35.0,Universitario,Ninguna,CALI,VALLE DEL CAUCA,Algo en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,De otra región. Cuàl?,Petrista y/o de izquierda,,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,.,,,,,,,,,Sí,Sí,Un poco en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,De acuerdo,En desacuerdo,Completamente en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Completamente en desacuerdo,De acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Completamente en desacuerdo,En desacuerdo,Un poco de acuerdo,De acuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,Con bastantes,,Con muchas,Rara vez,Nunca,Algunas veces,Siempre,Algunas veces,Frecuentemente,Casi nunca,Frecuentemente,Algunas veces,Casi siempre,Algunas veces,Algunas veces,Nunca,,,,,,,,,,Un poco en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,,,,,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,9,30,40,11,20,Corresponde algo con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,Completamente de acuerdo,Entre 1 y 3 horas al día,"Un poco, pero es manejable",Un poco,Algunas veces,Algo de control,Cerca de 1 hora al día,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,En desacuerdo,Para nada de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,De acuerdo,Moderadamente de acuerdo,En desacuerdo,Completamente de acuerdo,De acuerdo,Moderadamente de acuerdo,71,94,48,Gustavo Petro,Gustavo Petro,,
113,R_YSqy9LKNrvJCUHT,3.4129,-76.5191,Un hombre,46.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,R_3lS6rYyZtlfoUM0,3.4129,-76.5191,Una mujer,55.0,Técnico o Tecnológico,Afrodescendiente,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De otra región. Cuàl?,"Otro, ¿Cuál?",Ninguno,De acuerdo,De acuerdo,,,,,,,,,,,,,,,Sí,Sí,De acuerdo,De acuerdo,,,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,,,,,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Rara vez,Rara vez,,,,,,,,,,,,,,,,,,,,,,,,,,,54,52,53,52,52,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Moderadamente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,18,18,15,No voté,No votaría,,
255,R_2zoHnCAn6RAEMZ3,4.6913,-74.032,Una mujer,34.0,Universitario,Mestizo,CALI,VALLE DEL CAUCA,De acuerdo,,,De acuerdo,,,,Valluno,Petrista y/o de izquierda,,Algo de acuerdo,,Algo de acuerdo,,,,,.Centro,De acuerdo,,,,Algo de acuerdo,,,,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Con ninguna,,Con ninguna,Siempre,Nunca,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,100,93,82,0,100,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Nunca. Siempre me ganan.,Ningún control,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,0,0,0,No quiero responder,Sergio Fajardo,,
256,R_1dKXNeYwm48UtUJ,3.4129,-76.5191,Una mujer,55.0,Técnico o Tecnológico,Afrodescendiente,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De otra región. Cuàl?,,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,Ni de acuerdo ni en desacuerdo,,,,,,,,,,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,,,,,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,,,,,,,,,,,,,,,,,,,,,,,,,,,81,60,65,69,67,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Nunca. Siempre me ganan.,Completo control,Nada,Nada,Nada,Nunca. Siempre me ganan.,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,17,19,24,No voté,No votaría,,30000121119UsbCali
261,R_3staFjzi5giVh5F,3.4129,-76.5191,Una mujer,46.0,Técnico o Tecnológico,Afrodescendiente,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De otra región. Cuàl?,Sólo de izquierda,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Extrema Izquierda,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,,Con bastantes,,Con muchas,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre,Algunas veces,Casi siempre,Rara vez,Rara vez,Algunas veces,,,,,,,,,,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,0,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Nada,Nada,Nada,Nunca. Siempre me ganan.,Mucho control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Para nada de acuerdo,,50,,Gustavo Petro,Gustavo Petro,,30000121119usbcali
356,R_3O8nok98vnJiohy,6.2529,-75.5646,Una mujer,58.0,Secundaria,Ninguna,CALI,ANTIOQUIA,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Algo de acuerdo,Antioqueño,Sólo de derecha,,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,.,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Con ninguna,,Con varias,,Algunas veces,Casi nunca,Casi nunca,Nunca,Algunas veces,Rara vez,Nunca,,,,,,,Rara vez,Rara vez,Algunas veces,Nunca,Nunca,Nunca,Completamente en desacuerdo,En desacuerdo,En desacuerdo,,,,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,,,,,0,,50,80,100,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde con mis sentimientos,Corresponde muy poco con mis sentimientos,Un poco de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Nada,Nada,Nada,Algunas veces,Mucho control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,100,0,52,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,000346984
358,R_x0nFPGLLPTfwGat,6.2529,-75.5646,Una mujer,57.0,Secundaria,Ninguna,CALI,ANTIOQUIA,Fuertemente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Antioqueño,Uribista y/o de derecha,,Completamente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,En desacuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Con muchas,,Con muchas,,Algunas veces,Nunca,Algunas veces,Siempre,Algunas veces,Nunca,Nunca,,,,,,,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,En desacuerdo,En desacuerdo,En desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,0,0,0,0,60,Corresponde con mis sentimientos,Corresponde bastante con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde bastante con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,En desacuerdo,En desacuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,Moderadamente de acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Moderadamente de acuerdo,Completamente de acuerdo,Para nada de acuerdo,90,10,33,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,
362,R_1i9bQ8Raps7q0UG,6.2529,-75.5646,Una mujer,47.0,Posgrado,Ninguna,CALI,ANTIOQUIA,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Antioqueño,Uribista y/o de derecha,,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Extrema derecha,De acuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Con algunas,,Con muchas,,Rara vez,Nunca,Casi nunca,Rara vez,Casi nunca,Casi nunca,Nunca,,,,,,,Algunas veces,Casi nunca,Algunas veces,Rara vez,Casi nunca,Algunas veces,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,,,,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,,,,,61,70,60,59,46,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Cerca de 1 hora al día,Un poco,Un poco,Siempre,Mucho control,Cerca de 1 hora al día,Un poco,Un poco,La mayor parte del tiempo,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Para nada de acuerdo,86,75,64,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,000346984
371,R_3fYLidYeX2t83pO,6.2529,-75.5646,Una mujer,57.0,Secundaria,Ninguna,CALI,ANTIOQUIA,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Antioqueño,Principalmente uribista,,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Extrema derecha,Completamente de acuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Nunca,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,En desacuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,Completamente de acuerdo,Completamente en desacuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Con muchas,,Con muchas,,Nunca,Nunca,Rara vez,Rara vez,Nunca,Nunca,Nunca,,,,,,,Algunas veces,Rara vez,Nunca,Algunas veces,Algunas veces,Rara vez,En desacuerdo,En desacuerdo,En desacuerdo,,,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,,,,,,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde moderadamente con mis sentimientos,Corresponde bastante con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde moderadamente con mis sentimientos,Un poco en desacuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,99,8,3,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,000346984
