Q69,count
CALI,92
MEDELLÍN,89
VALLEDUPAR,35
BUCARAMANGA,22
FLORIDABLANCA,13
BOGOTÁ,10
PIEDECUESTA,5
CARTAGENA,4
BUENAVENTURA,4
PALMIRA,4
JAMUNDI,4
PASTO,2
JAMUNDÍ,2
YUMBO,1
VALLE DEL CAUCA,1
TUNJA,1
CALDAS,1
PIENDAMO,1
SAN JUAN DE PASTO,1
GUARNE,1
CAUCASIA,1
VLLLEDUPR,1
CHIMICHAGUA,1
SANTANDER DE QUILICHAO,1
VALEDUPAR,1
CÚCUTA,1
FLORIDA BLANCA,1
SANTA MARTA,1
EL COPEY,1
LA CEJA,1
BOSCONIA,1
LA PINTADA,1
RIOHACHA,1
SOCORRO,1
GIRON,1
SAN VICENTE FERRER,1
COPACABANA,1
ENVIGAADO,1
CCVVHGH,1
QUIBDÓ,1
MARINILLA,1
